PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40652495,Peripheral Nerve Vasculitis Triggered by COVID-19 Vaccinations.,2025,,,
40652345,"Freedom as Non-Domination, Rules, and the Pandemic.",2025,,,
40651844,Effectiveness of full mRNA vaccinations to prevent COVID-19 among immunocompromised patients receiving tixagevimab-cilgavimab as pre-exposure prophylaxis-authors' response.,2025,,,changsc@ntu.edu.tw.
40651842,Analyzing attitudes toward COVID-19 vaccine decision making among pregnant women in Pakistan.,2025,Haleema Yasmeen; Sami L Gottlieb,"UNDP/UNFPA/UNICEF/WHO/World Bank Special Programme of Research, Development and Research Training in Human Reproduction, Department of Sexual and Reproductive Health and Research, World Health Organization, Geneva 1211, Switzerland. Electronic address: gottliebs@who.int.; Department of Obstetrics and Gynaecology, Jinnah Postgraduate Medical Center, Rafiqui Shaheed Road, Karachi 75510, Pakistan. Electronic address: dr.haleemayasmin@yahoo.com.",saleem.jessani@aku.edu.
40651571,Vaccination Strategies for Transplantation in Japan (Solid Organ Transplantation and Hematopoietic Stem Cell Transplantation).,2025,,,ttakeshi@nagasaki-u.ac.jp.
40651498,Developing and Implementing an Intervention to Increase Immunization Coverage Among Frontline Long-Term Care Staff.,2025,Elizabeth A Sobczyk; Ellen M Schultz; David M Casey; Heather L Roney; Sheena A Bumpas; Leslie B Eber; Amy Parker Fiebelkorn,"Rocky Mountain Senior Care, Golden, CO, USA.; Ellen Schultz Consulting, Deerfield, IL, USA.; National Association of Health Care Assistants, Duncan, OK, USA.; The Post-Acute and Long-Term Care Medical Association, Columbia, MD, USA. Electronic address: esobczyk@paltmed.org.; The Post-Acute and Long-Term Care Medical Association, Columbia, MD, USA.; Centers for Disease Control and Prevention, Atlanta, GA, USA.",esobczyk@paltmed.org.
40651308,Purification and characterization of recombinant neuraminidase as a potentially broadly protective influenza virus vaccine candidate.,2025,Brooks Hayes,"Expression Systems, an Advancion Company, Davis, CA, USA.",nico.lingg@boku.ac.at.
40651307,"The predictors of full, partial and no COVID-19 vaccination among immigrants and non-immigrants.",2025,Orit Cohen Castel,"Maccabi Healthcare Services, Division of Family Medicine, The Rappaport Faculty of Medicine, The Technion, Haifa, Israel. Electronic address: cohenk_o@mac.org.il.",czlotnick@univ.haifa.ac.il.
40651127,Effectiveness and determinants of narrative-based corrections for health misinformation: A systematic review.,2025,,,okuhara-ctr@umin.ac.jp.
40651020,COVID-19 update: mNEXSPIKE - a new Moderna mRNA vaccine for COVID-19.,2025,,,
40651019,COVID-19 update: mRNA COVID-19 vaccines and myocarditis.,2025,,,
40651018,COVID-19 update: Full approval for Novavax COVID-19 vaccine.,2025,,,
40650904,Spike-specific IgG4 generated post BNT162b2 mRNA vaccination is inhibitory when directly competing with functional IgG subclasses.,2025,Blair Merrick,"Centre for Clinical Infection and Diagnostics Research, Department of Infectious Diseases, Guy's and St Thomas' NHS Foundation Trust, London, UK.",katie.doores@kcl.ac.uk.
40650319,Evaluation of Torquetenovirus (TTV) Particle Integrity Utilizing PMAxx™.,2025,,,
40650312,An mRNA Vaccine Targeting the C-Terminal Region of P1 Protein Induces an Immune Response and Protects Against ,2025,,,
40650237,Moloney Murine Leukemia Virus-like Nanoparticles Pseudo-Typed with SARS-CoV-2 RBD for Vaccination Against COVID-19.,2025,,,
40650217,Genome-Wide Association Study of COVID-19 Breakthrough Infections and Genetic Overlap with Other Diseases: A Study of the UK Biobank.,2025,,,
40649991,Immunomodulatory Mechanisms Underlying Neurological Manifestations in Long COVID: Implications for Immune-Mediated Neurodegeneration.,2025,Che Mohd Nasril Che Mohd Nassir,"Department of Anatomy and Physiology, Faculty of Medicine, Universiti Sultan Zainal Abidin, Kuala Terengganu 20400, Terengganu, Malaysia.",
40649826,Type I Interferons in SARS-CoV-2 Cutaneous Infection: Is There a Role in Antiviral Defense?,2025,Tatiana Mina Yendo; Raquel Leão Orfali; Naiura Vieira Pereira; Natalli Zanete Pereira; Yasmim Álefe Leuzzi Ramos; Amaro Nunes Duarte-Neto; Mirian Nacagami Sotto; Luiz Fernando Ferraz Silva; Alberto José da Silva Duarte; Maria Notomi Sato; Valeria Aoki,"Department of Pathology, Faculdade de Medicina FMUSP, Universidade de Sao Paulo, Sao Paulo 01246-903, SP, Brazil.; Department of Dermatology, Faculdade de Medicina FMUSP, Universidade de Sao Paulo, Sao Paulo 01246-903, SP, Brazil.",
40649197,Purification and Inhibitor Screening of the Full-Length SARS-CoV-2 Nucleocapsid Protein.,2025,,,
